id,company_id,title,years_of_experience,description,responsibilities,education_id,skills_requirement
178,36,Customer Support Specialist,1-3,Provide technical support to users and resolve customer issues.,"Answer queries, troubleshoot issues, and document feedback.",50,"[222, 4, 56, 223, 224]"
179,37,Research Scientist,5-8,Conduct scientific research and publish findings.,"Design experiments, analyze data, and collaborate with teams.",71,"[98, 14, 263, 54, 33]"
180,37,Laboratory Technician,2-4,Support lab operations by preparing samples and maintaining equipment.,"Conduct tests, prepare samples, and manage lab inventory.",72,"[225, 121, 226, 227, 228]"
181,37,Project Coordinator,3-5,Coordinate projects to ensure timely completion and resource allocation.,"Schedule tasks, monitor progress, and communicate with stakeholders.",73,"[183, 4, 155, 226, 56]"
182,37,Environmental Analyst,4-6,Analyze environmental data to guide sustainable practices.,"Monitor environmental changes, prepare reports, and recommend solutions.",74,"[14, 281, 98, 17, 4]"
183,38,Sales Manager,4-6,Drive sales initiatives to achieve business goals.,"Develop strategies, manage sales teams, and analyze performance.",12,"[230, 214, 4, 216, 68]"
184,38,Account Manager,2-5,Manage client accounts and maintain relationships.,"Handle client communications, track account metrics, and ensure client satisfaction.",75,"[231, 145, 4, 216, 56]"
185,38,Business Analyst,3-6,Analyze business operations to improve efficiency.,"Gather requirements, create reports, and recommend improvements.",12,"[232, 14, 4, 1, 56]"
186,39,Network Engineer,3-5,Design and maintain IT network infrastructure.,"Monitor network performance, troubleshoot issues, and implement upgrades.",8,"[172, 247, 65, 4, 56]"
187,39,DevOps Engineer,4-6,Develop and maintain DevOps tools and workflows.,"Manage CI/CD pipelines, monitor infrastructure, and optimize performance.",20,"[61, 99, 64, 78, 54]"
188,39,Database Administrator,2-4,Manage and optimize database systems.,"Monitor performance, ensure security, and handle backups.",8,"[57, 233, 56, 65, 234]"
189,40,HR Manager,5-7,Oversee HR functions to ensure employee satisfaction and compliance.,"Manage recruitment, employee relations, and policy implementation.",76,"[235, 4, 236, 150, 214]"
190,40,Recruitment Specialist,2-4,Identify and recruit top talent for the organization.,"Source candidates, conduct interviews, and manage onboarding processes.",77,"[148, 237, 4, 238, 155]"
191,40,Payroll Specialist,1-3,Ensure accurate and timely payroll processing.,"Manage payroll systems, ensure compliance, and handle queries.",78,"[239, 121, 150, 4, 56]"
192,41,Graphic Designer,2-4,Create visual content for branding and marketing purposes.,"Design logos, promotional materials, and digital graphics.",79,"[270, 158, 72, 121, 226]"
193,41,Marketing Specialist,3-5,Plan and execute marketing campaigns.,"Conduct market research, analyze trends, and develop strategies.",80,"[275, 11, 209, 241, 284]"
194,41,Social Media Manager,2-4,Manage and grow social media presence.,"Create content, schedule posts, and engage with audiences.",81,"[242, 72, 4, 284, 269]"
195,42,Software Tester,1-3,Test software applications to ensure quality and functionality.,"Create test cases, execute tests, and report issues.",20,"[140, 121, 56, 4, 84]"
196,42,Frontend Developer,3-5,Develop and maintain user-facing web applications.,"Write clean code, debug issues, and optimize performance.",20,"[90, 244, 89, 76, 4]"
197,42,Backend Developer,3-5,Develop and optimize server-side logic and APIs.,"Integrate front-end elements, manage databases, and ensure scalability.",20,"[49, 96, 57, 91, 56]"
198,43,Operations Analyst,3-5,Analyze business operations and suggest improvements.,"Collect data, create reports, and collaborate with teams.",12,"[14, 55, 4, 1, 56]"
199,43,Supply Chain Coordinator,2-4,Coordinate and monitor supply chain activities.,"Track shipments, manage inventory, and liaise with suppliers.",82,"[245, 4, 155, 216, 56]"
200,43,Logistics Specialist,4-6,Plan and manage transportation logistics.,"Optimize routes, manage costs, and ensure timely deliveries.",10,"[203, 204, 4, 14, 80]"
201,44,Customer Success Manager,3-5,Ensure customer satisfaction and retention.,"Manage customer accounts, resolve issues, and foster relationships.",70,"[246, 4, 56, 155, 14]"
202,44,Technical Support Engineer,2-4,Provide technical support to clients.,"Troubleshoot technical issues, document solutions, and ensure system performance.",20,"[247, 4, 172, 56, 84]"
203,44,Data Analyst,2-4,Analyze and interpret data to support business decisions.,"Collect data, create reports, and provide insights.",25,"[14, 57, 1, 49, 51]"
204,45,Security Analyst,3-5,Monitor and secure IT systems against threats.,"Conduct security audits, monitor systems, and implement solutions.",83,"[85, 66, 56, 4, 86]"
205,45,Cloud Architect,5-7,Design and oversee cloud infrastructure.,"Develop cloud solutions, optimize performance, and ensure security.",84,"[64, 97, 65, 4, 56]"
206,45,DevOps Specialist,4-6,Manage and optimize DevOps workflows.,"Build CI/CD pipelines, automate processes, and monitor performance.",20,"[61, 63, 99, 64, 4]"
207,46,Mobile App Developer,2-4,Develop and maintain mobile applications.,"Write clean code, debug applications, and optimize performance.",20,"[96, 248, 249, 250, 4]"
208,46,Product Designer,3-5,Design user-friendly products for digital platforms.,"Create wireframes, collaborate with developers, and conduct usability testing.",19,"[69, 94, 70, 71, 72]"
209,46,Quality Assurance Engineer,1-3,Test and ensure quality in software applications.,"Create test cases, execute tests, and document issues.",20,"[140, 251, 56, 121, 84]"
210,46,System Administrator,3-5,Manage and maintain IT systems and networks.,"Monitor systems, troubleshoot issues, and ensure security.",8,"[172, 296, 65, 4, 247]"
211,47,Business Development Manager,4-6,Identify and pursue new business opportunities.,"Develop strategies, negotiate deals, and build relationships.",70,"[142, 4, 216, 68, 253]"
212,47,Sales Representative,2-4,Promote and sell products to clients.,"Meet sales targets, maintain client relationships, and track progress.",85,"[179, 216, 4, 145, 56]"
213,47,Account Executive,3-5,Manage client accounts and drive business growth.,"Handle client communications, manage contracts, and oversee project delivery.",75,"[231, 4, 216, 226, 254]"
214,48,Cybersecurity Specialist,3-5,Protect IT systems from cyber threats.,"Monitor systems, identify vulnerabilities, and implement security measures.",83,"[85, 66, 56, 100, 4]"
215,48,Network Security Engineer,4-6,Secure network infrastructure against attacks.,"Design secure networks, implement firewalls, and monitor traffic.",86,"[172, 255, 65, 56, 247]"
216,48,IT Support Technician,1-3,Provide IT support to users and troubleshoot issues.,"Answer queries, resolve technical issues, and document solutions.",21,"[247, 4, 223, 172, 56]"
217,49,Mechanical Engineer,2-4,Design and develop mechanical systems.,"Create designs, conduct simulations, and oversee production.",87,"[256, 257, 56, 195, 4]"
218,49,Production Manager,4-6,Oversee production processes to ensure efficiency.,"Plan production schedules, manage resources, and ensure quality.",88,"[258, 259, 214, 204, 80]"
219,49,Maintenance Engineer,3-5,Maintain and repair mechanical systems.,"Conduct inspections, troubleshoot issues, and perform maintenance.",89,"[260, 56, 247, 4, 261]"
220,50,Data Scientist,3-6,Analyze and interpret complex data to provide insights.,"Build predictive models, analyze trends, and present findings.",13,"[35, 49, 87, 50, 51]"
221,50,AI Engineer,4-7,Develop and implement AI solutions.,"Design algorithms, optimize models, and integrate AI systems.",14,"[213, 49, 130, 101, 50]"
222,50,Business Intelligence Analyst,3-5,Analyze business data to support decision-making.,"Create dashboards, monitor KPIs, and provide recommendations.",15,"[262, 14, 57, 4, 51]"
223,51,Full Stack Developer,3-5,Develop and maintain full-stack web applications.,"Design front-end and back-end systems, troubleshoot issues, and optimize applications.",20,"[90, 49, 76, 110, 57]"
224,51,Cloud Engineer,4-6,Design and manage cloud infrastructure.,"Optimize cloud services, monitor systems, and ensure security.",35,"[64, 65, 78, 56, 54]"
225,51,Technical Writer,2-4,Create technical documents for software and hardware products.,"Write manuals, maintain documentation, and collaborate with teams.",90,"[263, 84, 98, 4, 264]"
226,52,HR Coordinator,2-4,Coordinate HR activities and maintain employee records.,"Manage recruitment, onboarding, and policy updates.",76,"[235, 4, 155, 265, 150]"
227,52,Recruitment Specialist,3-5,Identify and recruit talent for the organization.,"Source candidates, conduct interviews, and manage recruitment databases.",91,"[148, 237, 238, 4, 216]"
228,52,Payroll Officer,1-3,Manage payroll and ensure compliance with tax regulations.,"Process payroll, prepare reports, and resolve discrepancies.",78,"[266, 121, 150, 1, 56]"
229,52,HR Analyst,3-5,Analyze HR data to improve organizational efficiency.,"Prepare HR reports, track metrics, and suggest improvements.",12,"[14, 55, 267, 4, 56]"
230,53,Project Manager,5-7,Lead and manage projects to ensure timely delivery.,"Plan tasks, allocate resources, and monitor progress.",73,"[183, 214, 4, 86, 226]"
231,53,Business Consultant,4-6,Advise clients on business strategies and improvements.,"Analyze business processes, suggest strategies, and oversee implementation.",92,"[268, 68, 4, 14, 56]"
232,54,Graphic Artist,2-4,Create visual content for marketing campaigns.,"Design graphics, collaborate with marketing teams, and ensure brand consistency.",93,"[269, 72, 270, 271, 4]"
233,54,Content Marketer,3-5,Develop content strategies to enhance brand visibility.,"Write content, manage campaigns, and track performance metrics.",47,"[241, 209, 284, 4, 68]"
234,55,Database Engineer,4-6,Design and manage complex database systems.,"Optimize databases, ensure security, and handle data migrations.",20,"[57, 233, 272, 65, 234]"
235,55,System Architect,5-8,Design and oversee IT system architectures.,"Develop architectural solutions, guide teams, and ensure system scalability.",94,"[273, 64, 65, 4, 214]"
236,55,Software Tester,2-4,Ensure the quality of software applications through rigorous testing.,"Create test plans, document findings, and collaborate with developers.",20,"[140, 56, 121, 4, 84]"
237,56,Backend Developer,3-5,Develop and maintain server-side logic and APIs.,"Optimize databases, integrate APIs, and ensure system performance.",20,"[49, 96, 57, 274, 56]"
238,56,Frontend Developer,2-4,Design and build user-facing applications.,"Create web interfaces, debug issues, and improve user experience.",20,"[244, 89, 90, 76, 4]"
239,56,DevOps Engineer,4-6,Develop and maintain DevOps tools and workflows.,"Build CI/CD pipelines, manage cloud systems, and optimize processes.",8,"[99, 104, 105, 64, 78]"
240,56,QA Engineer,2-4,Test and ensure the quality of software applications.,"Create test plans, execute tests, and report bugs.",20,"[140, 56, 84, 4, 121]"
241,57,Marketing Manager,4-6,Plan and execute marketing strategies to enhance brand awareness.,"Develop campaigns, analyze market trends, and manage teams.",80,"[209, 275, 284, 4, 68]"
242,57,Content Writer,2-4,Create and edit content for marketing purposes.,"Write blogs, create social media posts, and optimize content for SEO.",95,"[263, 264, 209, 72, 4]"
243,57,Social Media Specialist,2-4,Manage and grow the company's social media presence.,"Create posts, analyze engagement metrics, and run ad campaigns.",81,"[242, 284, 72, 4, 276]"
244,57,SEO Specialist,3-5,Optimize website content to improve search engine rankings.,"Conduct keyword research, monitor website performance, and implement SEO strategies.",47,"[209, 284, 277, 4, 56]"
245,58,Supply Chain Manager,5-7,Oversee supply chain operations to ensure efficiency.,"Manage logistics, optimize inventory, and coordinate with suppliers.",82,"[297, 4, 155, 80, 216]"
246,58,Operations Analyst,3-5,Analyze business operations and identify improvement areas.,"Prepare reports, track metrics, and recommend solutions.",12,"[14, 55, 4, 1, 56]"
247,58,Warehouse Supervisor,2-4,Oversee warehouse activities and ensure efficient operations.,"Manage staff, monitor inventory, and ensure safety protocols.",96,"[279, 214, 4, 287, 45]"
248,59,Research Scientist,5-8,Conduct scientific research and experiments.,"Design experiments, analyze data, and publish findings.",97,"[98, 14, 263, 54, 33]"
249,59,Lab Technician,2-4,Support laboratory operations and maintain equipment.,"Prepare samples, conduct tests, and maintain records.",98,"[225, 121, 155, 45, 4]"
250,59,Environmental Analyst,3-5,Analyze environmental data and recommend solutions.,"Prepare reports, monitor environmental changes, and collaborate with teams.",74,"[281, 14, 4, 55, 54]"
251,60,Cybersecurity Analyst,3-5,Monitor and secure IT systems against cyber threats.,"Conduct audits, monitor systems, and implement security protocols.",83,"[85, 66, 56, 4, 86]"
252,60,Network Administrator,3-5,Manage and maintain IT network infrastructure.,"Monitor network performance, troubleshoot issues, and ensure security.",8,"[172, 247, 65, 4, 56]"
253,60,Cloud Security Engineer,4-6,Design and implement security measures for cloud systems.,"Secure cloud platforms, monitor for threats, and conduct audits.",35,"[64, 65, 122, 56, 4]"
254,61,Data Engineer,3-5,Design and maintain data pipelines.,"Develop ETL processes, optimize databases, and ensure data quality.",34,"[57, 49, 60, 58, 56]"
255,61,Machine Learning Specialist,4-6,Develop and deploy machine learning models.,"Design algorithms, optimize models, and integrate ML into applications.",14,"[87, 49, 130, 14, 50]"
256,61,Business Intelligence Analyst,3-5,Analyze data to support business decisions.,"Build dashboards, monitor KPIs, and provide insights.",15,"[262, 57, 14, 4, 1]"
257,62,Software Architect,5-8,Design software architecture for scalable solutions.,"Develop architectural blueprints, guide developers, and ensure performance.",9,"[282, 64, 214, 65, 56]"
258,62,Web Developer,2-4,Develop and maintain websites.,"Create responsive designs, troubleshoot issues, and ensure accessibility.",20,"[244, 89, 90, 76, 4]"
259,62,UX Researcher,3-5,Conduct user research to enhance product usability.,"Analyze user behavior, create reports, and recommend improvements.",99,"[283, 4, 14, 94, 56]"
260,63,Product Manager,4-6,Lead product development and manage teams.,"Define product roadmaps, allocate resources, and ensure timely delivery.",70,"[28, 4, 92, 214, 204]"
261,63,Data Analyst,2-4,Analyze data to identify trends and insights.,"Prepare reports, visualize data, and support decision-making.",17,"[57, 1, 49, 51, 4]"
262,63,Marketing Analyst,3-5,Analyze marketing data to improve campaign performance.,"Monitor campaigns, track KPIs, and recommend strategies.",47,"[284, 209, 55, 4, 14]"
263,64,Operations Manager,5-7,Oversee daily operations and ensure efficiency.,"Manage teams, improve workflows, and meet targets.",67,"[214, 4, 56, 68, 204]"
264,64,Procurement Officer,3-5,Handle purchasing and supplier relationships.,"Negotiate contracts, monitor supply chain, and optimize costs.",68,"[285, 216, 4, 286, 204]"
265,64,Inventory Analyst,2-4,Analyze inventory data to optimize stock levels.,"Prepare reports, track inventory, and recommend improvements.",70,"[287, 14, 55, 1, 4]"
266,65,Cybersecurity Specialist,4-6,Secure IT systems against cyber threats.,"Monitor systems, identify vulnerabilities, and implement solutions.",83,"[85, 66, 56, 4, 100]"
267,65,DevOps Engineer,4-6,Develop and maintain DevOps workflows.,"Manage CI/CD pipelines, monitor infrastructure, and optimize performance.",8,"[61, 99, 64, 63, 78]"
268,65,Cloud Solutions Architect,5-8,Design cloud architecture and solutions.,"Develop cloud strategies, optimize costs, and ensure scalability.",100,"[288, 65, 80, 4, 214]"
269,66,Software Developer,3-5,Develop and maintain software applications.,"Write clean code, troubleshoot issues, and ensure system performance.",20,"[49, 96, 205, 56, 92]"
270,66,Technical Support Specialist,2-4,Provide technical support for software products.,"Troubleshoot issues, document resolutions, and support clients.",21,"[247, 4, 56, 223, 172]"
271,66,Quality Assurance Analyst,3-5,Test software applications to ensure quality.,"Develop test plans, execute tests, and document findings.",20,"[140, 121, 56, 84, 4]"
272,67,Marketing Manager,4-6,Oversee marketing campaigns and strategies.,"Plan campaigns, manage budgets, and analyze results.",47,"[275, 284, 4, 209, 68]"
273,67,Content Strategist,3-5,Develop content strategies for digital marketing.,"Create content plans, coordinate teams, and analyze performance.",101,"[241, 284, 98, 209, 4]"
274,68,Supply Chain Manager,5-7,Oversee supply chain operations and logistics.,"Plan shipments, manage inventories, and optimize operations.",102,"[297, 204, 80, 4, 216]"
275,68,Operations Analyst,3-5,Analyze business operations and recommend improvements.,"Collect data, create reports, and optimize processes.",12,"[14, 55, 4, 1, 56]"
276,68,Procurement Specialist,2-4,Manage procurement and vendor relationships.,"Negotiate contracts, oversee purchasing, and track costs.",103,"[216, 285, 4, 217, 155]"
277,69,Network Engineer,3-5,Design and maintain IT network infrastructure.,"Monitor networks, troubleshoot issues, and optimize performance.",8,"[172, 65, 4, 247, 56]"
278,69,Cybersecurity Analyst,4-6,Secure IT systems and monitor for threats.,"Conduct audits, implement security measures, and ensure compliance.",83,"[85, 66, 86, 4, 100]"
279,70,Data Scientist,3-6,Analyze data and build predictive models.,"Collect data, develop models, and communicate insights.",13,"[14, 49, 87, 50, 51]"
280,70,Business Analyst,2-5,Analyze business data and recommend solutions.,"Prepare reports, monitor KPIs, and optimize processes.",15,"[14, 4, 56, 1, 51]"
281,70,AI Engineer,4-7,Develop AI solutions for business applications.,"Build AI models, integrate systems, and ensure scalability.",14,"[213, 49, 130, 50, 101]"
282,71,Product Manager,4-6,Lead product development cycles and manage cross-functional teams.,"Define product roadmaps, coordinate teams, and oversee launches.",70,"[28, 92, 4, 214, 56]"
283,71,UI/UX Designer,3-5,Design intuitive user interfaces and enhance user experiences.,"Create wireframes, prototype interfaces, and collaborate with developers.",19,"[69, 71, 70, 4, 94]"
284,71,Software Tester,2-4,Ensure the quality of software through rigorous testing.,"Develop test plans, execute tests, and document results.",20,"[140, 121, 4, 56, 289]"
285,71,Data Scientist,3-6,Analyze data and build predictive models.,"Collect data, develop models, and present insights to stakeholders.",27,"[35, 49, 87, 50, 4]"
286,72,Marketing Coordinator,2-4,Support marketing initiatives and campaigns.,"Assist in planning campaigns, monitor performance, and manage marketing assets.",47,"[275, 4, 209, 72, 284]"
287,72,Digital Marketing Specialist,3-5,Plan and execute digital marketing campaigns.,"Develop strategies, manage budgets, and analyze campaign performance.",47,"[209, 290, 284, 72, 4]"
288,72,Social Media Strategist,3-5,Develop and implement social media strategies.,"Manage social media platforms, analyze metrics, and engage audiences.",81,"[242, 284, 72, 4, 241]"
289,73,Operations Manager,5-7,Oversee daily operations and ensure efficiency.,"Manage teams, improve workflows, and achieve operational goals.",67,"[214, 4, 56, 204, 68]"
290,73,Logistics Coordinator,3-5,Coordinate logistics and supply chain activities.,"Plan shipments, track deliveries, and manage inventory.",102,"[203, 4, 155, 204, 216]"
291,74,Cybersecurity Engineer,4-6,Secure IT systems and protect against cyber threats.,"Implement security measures, monitor systems, and respond to incidents.",23,"[85, 66, 56, 4, 100]"
292,74,Cloud Administrator,3-5,Manage and maintain cloud infrastructure.,"Monitor cloud systems, optimize performance, and ensure security.",35,"[64, 65, 272, 4, 247]"
293,74,DevOps Specialist,4-6,Develop and optimize DevOps workflows.,"Manage CI/CD pipelines, automate tasks, and monitor systems.",8,"[61, 63, 99, 64, 4]"
294,75,AI Engineer,4-7,Develop and implement AI solutions.,"Design AI models, optimize algorithms, and integrate systems.",14,"[213, 49, 130, 87, 56]"
295,75,Data Engineer,3-6,Build and manage scalable data pipelines.,"Develop ETL processes, optimize databases, and ensure data quality.",34,"[57, 49, 60, 58, 64]"
296,75,Business Analyst,3-5,Analyze business data and recommend solutions.,"Monitor KPIs, create reports, and optimize processes.",15,"[14, 4, 56, 1, 55]"
297,76,Full Stack Developer,3-5,Develop and maintain full-stack web applications.,"Design front-end and back-end systems, troubleshoot issues, and optimize applications.",20,"[90, 49, 76, 110, 57]"
298,76,Cloud Engineer,4-6,Design and manage cloud infrastructure.,"Optimize cloud services, monitor systems, and ensure security.",35,"[64, 65, 78, 56, 54]"
299,76,DevOps Engineer,4-6,Develop and maintain DevOps tools and workflows.,"Build CI/CD pipelines, manage cloud systems, and optimize processes.",8,"[99, 104, 105, 64, 78]"
300,76,QA Engineer,2-4,Test and ensure the quality of software applications.,"Create test plans, execute tests, and report bugs.",20,"[140, 56, 84, 4, 121]"
301,77,Marketing Manager,4-6,Plan and execute marketing strategies to enhance brand awareness.,"Develop campaigns, analyze market trends, and manage teams.",80,"[209, 275, 284, 4, 68]"
302,77,Content Writer,2-4,Create and edit content for marketing purposes.,"Write blogs, create social media posts, and optimize content for SEO.",95,"[263, 264, 209, 72, 4]"
303,77,Social Media Specialist,2-4,Manage and grow the company's social media presence.,"Create posts, analyze engagement metrics, and run ad campaigns.",81,"[242, 284, 72, 4, 276]"
304,77,SEO Specialist,3-5,Optimize website content to improve search engine rankings.,"Conduct keyword research, monitor website performance, and implement SEO strategies.",47,"[209, 284, 277, 4, 56]"
305,78,Operations Analyst,3-5,Analyze business operations and recommend improvements.,"Collect data, create reports, and optimize processes.",12,"[14, 55, 4, 1, 56]"
306,78,Logistics Manager,5-7,Oversee logistics and supply chain operations.,"Plan shipments, manage resources, and optimize workflows.",82,"[203, 4, 155, 204, 56]"
307,78,Warehouse Supervisor,2-4,Manage warehouse activities and staff to ensure smooth operations.,"Supervise inventory management, track shipments, and ensure safety compliance.",96,"[279, 214, 4, 287, 45]"
308,79,Research Scientist,5-8,Conduct scientific research and experiments.,"Design experiments, analyze data, and publish findings.",97,"[98, 14, 263, 54, 33]"
309,79,Lab Technician,2-4,Support laboratory operations and maintain equipment.,"Prepare samples, conduct tests, and maintain records.",98,"[225, 121, 155, 45, 4]"
310,79,Environmental Analyst,3-5,Analyze environmental data and recommend solutions.,"Prepare reports, monitor environmental changes, and collaborate with teams.",74,"[281, 14, 4, 55, 54]"
311,79,Project Coordinator,3-5,Coordinate projects and ensure timelines are met.,"Monitor project progress, prepare documentation, and facilitate communication.",104,"[291, 4, 155, 56, 226]"
312,80,Cybersecurity Analyst,3-5,Monitor and secure IT systems against cyber threats.,"Conduct audits, monitor systems, and implement security protocols.",83,"[85, 66, 56, 4, 86]"
313,80,Network Administrator,3-5,Manage and maintain IT network infrastructure.,"Monitor network performance, troubleshoot issues, and ensure security.",8,"[172, 247, 65, 4, 56]"
314,80,Cloud Security Engineer,4-6,Design and implement security measures for cloud systems.,"Secure cloud platforms, monitor for threats, and conduct audits.",35,"[64, 65, 122, 56, 4]"
315,81,Software Developer,3-5,Develop and maintain software applications.,"Write clean code, troubleshoot issues, and ensure system performance.",20,"[49, 96, 56, 4, 74]"
316,81,QA Engineer,2-4,Ensure the quality of software through comprehensive testing.,"Create test plans, identify bugs, and improve system functionality.",8,"[140, 289, 121, 4, 56]"
317,81,Systems Analyst,4-6,Analyze and improve IT systems.,"Conduct system assessments, identify inefficiencies, and propose solutions.",8,"[37, 14, 4, 84, 56]"
318,82,Marketing Specialist,3-5,Develop and execute marketing campaigns.,"Monitor campaign performance, create reports, and manage digital content.",80,"[209, 241, 284, 4, 275]"
319,82,Digital Marketing Manager,4-6,Plan and oversee digital marketing strategies.,"Manage social media, oversee PPC campaigns, and analyze performance metrics.",47,"[292, 209, 290, 284, 4]"
320,82,Content Writer,2-4,Write and optimize content for marketing purposes.,"Develop blog posts, edit web content, and align with SEO best practices.",105,"[263, 209, 264, 72, 4]"
321,83,Operations Manager,5-7,Oversee daily operations to enhance productivity.,"Manage staff, optimize workflows, and ensure operational goals are met.",67,"[214, 4, 204, 56, 293]"
322,83,Logistics Coordinator,3-5,Coordinate logistics activities and manage inventory.,"Track shipments, manage supplier relationships, and improve logistics processes.",106,"[203, 4, 294, 216, 204]"
323,83,Supply Chain Analyst,3-5,Analyze supply chain processes to enhance efficiency.,"Prepare reports, track performance metrics, and recommend optimizations.",106,"[14, 55, 4, 295, 56]"
324,84,Cybersecurity Engineer,4-6,Secure IT systems and protect against cyber threats.,"Monitor systems, identify vulnerabilities, and implement security measures.",23,"[85, 66, 86, 4, 100]"
325,84,Cloud Solutions Architect,5-8,Design cloud architecture and solutions.,"Develop cloud strategies, optimize costs, and ensure scalability.",100,"[64, 97, 80, 4, 214]"
326,84,DevOps Engineer,4-6,Manage and optimize DevOps workflows.,"Automate processes, maintain CI/CD pipelines, and monitor systems.",8,"[61, 99, 64, 63, 4]"
327,85,Data Scientist,3-6,Analyze data and develop predictive models.,"Collect data, develop algorithms, and provide actionable insights.",13,"[49, 87, 14, 51, 4]"
328,85,AI Engineer,4-7,Build and deploy AI models for business applications.,"Design algorithms, integrate AI systems, and ensure scalability.",14,"[213, 130, 49, 101, 56]"
329,85,Business Analyst,3-5,Analyze business operations to recommend solutions.,"Monitor performance, create reports, and optimize workflows.",15,"[14, 4, 56, 55, 1]"
330,86,Backend Developer,3-5,Develop and maintain server-side logic and APIs.,"Optimize databases, integrate APIs, and ensure system performance.",20,"[49, 96, 57, 274, 56]"
331,86,Frontend Developer,2-4,Design and build user-facing applications.,"Create web interfaces, debug issues, and improve user experience.",20,"[244, 89, 90, 76, 4]"
332,86,Full Stack Developer,4-6,Develop and maintain full-stack web applications.,"Design front-end and back-end systems, troubleshoot issues, and optimize applications.",20,"[90, 49, 76, 110, 57]"
333,87,Marketing Manager,4-6,Plan and execute marketing strategies to enhance brand awareness.,"Develop campaigns, analyze market trends, and manage teams.",80,"[209, 275, 284, 4, 68]"
334,87,Content Creator,2-4,Develop and edit content for marketing purposes.,"Write blogs, create social media posts, and design graphics.",95,"[263, 264, 209, 72, 269]"
335,87,SEO Specialist,3-5,Optimize website content to improve search engine rankings.,"Conduct keyword research, monitor website performance, and implement SEO strategies.",47,"[209, 284, 277, 4, 56]"
336,87,Digital Marketing Manager,4-6,Oversee and optimize digital marketing strategies.,"Manage social media, PPC campaigns, and analyze performance metrics.",47,"[292, 209, 290, 284, 4]"
337,88,Logistics Manager,5-7,Oversee logistics and supply chain operations.,"Plan shipments, manage resources, and optimize workflows.",82,"[203, 4, 155, 204, 56]"
338,88,Warehouse Supervisor,2-4,Manage warehouse activities and staff to ensure smooth operations.,"Supervise inventory management, track shipments, and ensure safety compliance.",96,"[279, 214, 4, 287, 45]"
339,88,Supply Chain Analyst,3-5,Analyze supply chain data to improve efficiency.,"Prepare reports, track performance metrics, and recommend optimizations.",106,"[14, 55, 4, 295, 56]"
340,89,Research Scientist,5-8,Conduct scientific research and experiments.,"Design experiments, analyze data, and publish findings.",97,"[98, 14, 263, 54, 33]"
341,89,Lab Technician,2-4,Support laboratory operations and maintain equipment.,"Prepare samples, conduct tests, and maintain records.",98,"[225, 121, 155, 45, 4]"
342,89,Project Coordinator,3-5,Coordinate projects and ensure timelines are met.,"Monitor project progress, prepare documentation, and facilitate communication.",104,"[291, 4, 155, 56, 226]"
343,90,Cybersecurity Analyst,3-5,Monitor and secure IT systems against cyber threats.,"Conduct audits, monitor systems, and implement security protocols.",83,"[85, 66, 56, 4, 86]"
344,90,Cloud Administrator,3-5,Manage and maintain cloud infrastructure.,"Monitor cloud systems, optimize performance, and ensure security.",35,"[64, 65, 272, 4, 247]"
345,90,DevOps Specialist,4-6,Develop and optimize DevOps workflows.,"Manage CI/CD pipelines, automate tasks, and monitor systems.",8,"[61, 63, 99, 64, 4]"
346,91,Data Scientist,3-6,Analyze data and develop predictive models.,"Collect data, develop algorithms, and provide actionable insights.",13,"[49, 87, 14, 51, 4]"
347,91,AI Engineer,4-7,Build and deploy AI models for business applications.,"Design algorithms, integrate AI systems, and ensure scalability.",14,"[213, 130, 49, 101, 56]"
348,91,Business Analyst,3-5,Analyze business operations to recommend solutions.,"Monitor performance, create reports, and optimize workflows.",15,"[14, 4, 56, 55, 1]"
349,91,ML Researcher,4-7,Conduct research on machine learning algorithms and frameworks.,"Publish research papers, develop new techniques, and collaborate with teams.",16,"[98, 87, 49, 50, 33]"
350,92,Marketing Coordinator,2-4,Coordinate marketing activities and campaigns.,"Assist in campaign planning, analyze results, and prepare reports.",47,"[275, 4, 209, 72, 284]"
351,92,SEO Specialist,3-5,Improve website visibility on search engines.,"Conduct keyword research, optimize content, and monitor performance.",107,"[209, 284, 277, 56, 4]"
352,92,Social Media Manager,2-4,Manage and grow social media platforms.,"Create content, schedule posts, and engage with followers.",108,"[242, 4, 284, 72, 241]"
353,92,Digital Marketing Analyst,3-5,Analyze digital marketing data to improve strategies.,"Monitor KPIs, analyze campaign data, and suggest optimizations.",47,"[284, 209, 55, 4, 56]"
354,93,Logistics Coordinator,3-5,Coordinate logistics activities and manage inventory.,"Track shipments, manage supplier relationships, and improve logistics processes.",106,"[203, 4, 294, 216, 204]"
355,93,Operations Analyst,3-5,Analyze business operations and recommend improvements.,"Collect data, create reports, and optimize processes.",12,"[14, 55, 4, 1, 56]"
356,93,Procurement Manager,5-7,Manage procurement processes and vendor relationships.,"Negotiate contracts, manage budgets, and oversee purchasing activities.",103,"[285, 216, 4, 217, 214]"
357,94,Cloud Security Engineer,4-6,Ensure the security of cloud systems and data.,"Implement security measures, monitor threats, and conduct audits.",35,"[64, 65, 56, 4, 66]"
358,94,DevOps Engineer,3-5,Optimize DevOps workflows and infrastructure.,"Automate tasks, manage CI/CD pipelines, and monitor system performance.",8,"[61, 63, 99, 64, 4]"
359,94,System Administrator,3-5,Manage and maintain IT infrastructure.,"Monitor systems, troubleshoot issues, and ensure security.",8,"[296, 65, 172, 56, 4]"
